timestamp,stableValue,goldValue
1569594978.0,10000000,10000000
1569595578.0,10000679,10000000
1569596178.0,9989254,10000000
1569596778.0,9943538,10000000
1569597378.0,9943634,10000000
1569597978.0,9928599,10000000
1569598578.0,9909343,10000000
1569599178.0,9847515,10000000
1569599778.0,9828017,10000000
1569600378.0,9818788,10000000
1569600978.0,9792935,10000000
1569601578.0,9819538,10000000
1569602178.0,9891620,10000000
1569602778.0,9904482,10000000
1569603378.0,9934352,10000000
1569603978.0,10010725,10000000
1569604578.0,10029345,10000000
1569605178.0,10094661,10000000
1569605778.0,10057483,10000000
1569606378.0,10052375,10000000
1569606978.0,10107511,10000000
1569607578.0,10136632,10000000
1569608178.0,10138624,10000000
1569608778.0,10178129,10000000
1569609378.0,10194925,10000000
1569609978.0,10217530,10000000
1569610578.0,10203064,10000000
1569611178.0,10212590,10000000
1569611778.0,10227222,10000000
1569612378.0,10206659,10000000
1569612978.0,10118728,10000000
1569613578.0,10115887,10000000
1569614178.0,10220550,10000000
1569614778.0,10108028,10000000
1569615378.0,10070275,10000000
1569615978.0,10061378,10000000
1569616578.0,10073313,10000000
1569617178.0,10121514,10000000
1569617778.0,10166214,10000000
1569618378.0,10222240,10000000
1569618978.0,10282241,10000000
1569619578.0,10254805,10000000
1569620178.0,10253051,10000000
1569620778.0,10232364,10000000
1569621378.0,10251637,10000000
1569621978.0,10236245,10000000
1569622578.0,10197597,10000000
1569623178.0,10280038,10000000
1569623778.0,10274253,10000000
1569624378.0,10247595,10000000
1569624978.0,10283523,10000000
1569625578.0,10232419,10000000
1569626178.0,10211626,10000000
1569626778.0,10182449,10000000
1569627378.0,10099670,10000000
1569627978.0,9989160,10000000
1569628578.0,9987392,10000000
1569629178.0,9960753,10000000
1569629778.0,9933957,10000000
1569630378.0,9966484,10000000
1569630978.0,9929850,10000000
1569631578.0,10000804,10000000
1569632178.0,9930955,10000000
1569632778.0,9816660,10000000
1569633378.0,9808035,10000000
1569633978.0,9824912,10000000
1569634578.0,9893718,10000000
1569635178.0,9874010,10000000
1569635778.0,9859173,10000000
1569636378.0,9852826,10000000
1569636978.0,9953189,10000000
1569637578.0,9879081,10000000
1569638178.0,9893702,10000000
1569638778.0,9893392,10000000
1569639378.0,9854522,10000000
1569639978.0,9839426,10000000
1569640578.0,9844541,10000000
1569641178.0,9810147,10000000
1569641778.0,9810777,10000000
1569642378.0,9838575,10000000
1569642978.0,9869973,10000000
1569643578.0,9851458,10000000
1569644178.0,9840700,10000000
1569644778.0,9842779,10000000
1569645378.0,9878253,10000000
1569645978.0,9885590,10000000
1569646578.0,9936128,10000000
1569647178.0,9957585,10000000
1569647778.0,9892715,10000000
1569648378.0,9935603,10000000
1569648978.0,9909234,10000000
1569649578.0,9932061,10000000
1569650178.0,9932360,10000000
1569650778.0,9971338,10000000
1569651378.0,9973906,10000000
1569651978.0,9980442,10000000
1569652578.0,9912538,10000000
1569653178.0,9969832,10000000
1569653778.0,9971506,10000000
1569654378.0,9955719,10000000
1569654978.0,10009775,10000000
1569655578.0,10033847,10000000
1569656178.0,10044510,10000000
1569656778.0,10065253,10000000
1569657378.0,10068481,10000000
1569657978.0,10024305,10000000
1569658578.0,9971898,10000000
1569659178.0,10010834,10000000
1569659778.0,10055571,10000000
1569660378.0,10078871,10000000
1569660978.0,10092498,10000000
1569661578.0,10134049,10000000
1569662178.0,10183570,10000000
1569662778.0,10202164,10000000
1569663378.0,10245377,10000000
1569663978.0,10283814,10000000
1569664578.0,10261770,10000000
